Asset,CurrentMat,NewMat
w:\main\data\graphics\Geometry\Exterior\Generic\building_dressing\skylight_01.gamex,mphilip-m-9223372083225980414,mphilip-m-9223372083225980414
w:\main\data\graphics\Geometry\Exterior\Generic\building_dressing\skylight_05.gamex,mphilip-m-9223372083225980414,mphilip-m-9223372083225980414
